domain,proposed_ownership_type,proposed_geo_alignment,proposed_political_leaning,proposed_credibility_tier,proposed_label_confidence,proposed_review_status,evidence_url_1,evidence_url_2,review_note,reviewer,reviewed_at
elespectador.com,private,,,,,reviewed,https://ground.news/interest/el-espectador,https://en.wikipedia.org/wiki/El_Espectador,"rating_round2: Ground News lists bias and factuality as unknown; ownership_round2: El Espectador commercial ownership mapped to private",codex,2026-06-26
folha.uol.com.br,private,,,,,reviewed,https://ground.news/interest/folhacombr,https://en.wikipedia.org/wiki/Folha_de_S.Paulo,"rating_round2: Ground News lists bias and factuality as unknown; ownership_round2: Folha commercial ownership mapped to private",codex,2026-06-26
theglobeandmail.com,private,,,,,,,"https://en.wikipedia.org/wiki/The_Globe_and_Mail","ownership_round2: Globe and Mail ownership mapped to private commercial media",codex,2026-06-26
arabnews.com,private,,,,,,,"https://en.wikipedia.org/wiki/Arab_News","ownership_round2: Arab News ownership mapped to private commercial media",codex,2026-06-26
abc.es,private,,,,,,,"https://en.wikipedia.org/wiki/ABC_(newspaper)","ownership_round2: ABC Spain ownership mapped to private commercial media",codex,2026-06-26
kompas.com,private,,,,,,,"https://en.wikipedia.org/wiki/Kompas_(newspaper)","ownership_round2: Kompas ownership mapped to private commercial media",codex,2026-06-26
theguardian.com,nonprofit,,,,,,,"https://www.theguardian.com/about/history","ownership_round2: Scott Trust ownership reinvests profits in journalism; mapped to nonprofit/trust",codex,2026-06-26
arynews.tv,private,,center_right,medium,medium,reviewed,https://mediabiasfactcheck.com/ary-news-bias-and-credibility/,"https://mediabiasfactcheck.com/ary-news-bias-and-credibility/","rating_round2: MBFC rates ARY Right-Center and Mostly Factual with medium credibility; ownership_round2: same report lists commercial ARY Group ownership",codex,2026-06-26
thedailystar.net,private,,,,,reviewed,https://ground.news/interest/the-daily-star_5f3b12,https://en.wikipedia.org/wiki/The_Daily_Star_(Bangladesh),"rating_round2: Ground News Bangladesh page lists bias and factuality as unknown; ownership_round2: Daily Star commercial ownership mapped to private",codex,2026-06-26
nikkei.com,private,,,,,,,"https://en.wikipedia.org/wiki/The_Nikkei","ownership_round2: Nikkei ownership mapped to private commercial media",codex,2026-06-26
thejakartapost.com,private,,,,,,,"https://en.wikipedia.org/wiki/The_Jakarta_Post","ownership_round2: Jakarta Post ownership mapped to private commercial media",codex,2026-06-26
eluniversal.com.mx,private,,left,,medium,reviewed,https://ground.news/interest/el-universal,https://en.wikipedia.org/wiki/El_Universal_(Mexico_City),"rating_round2: Ground News and AllSides rate El Universal Left while factuality remains unknown; ownership_round2: commercial ownership mapped to private",codex,2026-06-26
theage.com.au,private,,,,,,,"https://en.wikipedia.org/wiki/The_Age","ownership_round2: The Age ownership mapped to private commercial media",codex,2026-06-26
publico.pt,private,,,,,reviewed,https://ground.news/interest/publico_f8d3f6,https://en.wikipedia.org/wiki/P%C3%BAblico_(Portugal),"rating_round2: Ground News lists Publico Portugal bias and factuality as unknown; ownership_round2: commercial ownership mapped to private",codex,2026-06-26
asahi.com,private,,,,,,,"https://en.wikipedia.org/wiki/The_Asahi_Shimbun","ownership_round2: Asahi ownership mapped to private commercial media",codex,2026-06-26
geo.tv,private,,,,,,,"https://en.wikipedia.org/wiki/Geo_News","ownership_round2: Geo News ownership mapped to private commercial media",codex,2026-06-26
dawnnews.tv,private,,,,,,,"https://en.wikipedia.org/wiki/Dawn_News","ownership_round2: Dawn News ownership mapped to private commercial media",codex,2026-06-26
thestar.com.my,party_affiliated,,,,,,,"https://en.wikipedia.org/wiki/The_Star_(Malaysia)","ownership_round2: The Star Malaysia is associated with MCA ownership; mapped to party_affiliated",codex,2026-06-26
channelnewsasia.com,state,,,,,,,"https://en.wikipedia.org/wiki/CNA_(TV_network)","ownership_round2: CNA owned by Mediacorp; Mediacorp is state-owned through Temasek; mapped to state",codex,2026-06-26
bisnis.com,private,,,,,needs_review,,"https://en.wikipedia.org/wiki/Bisnis_Indonesia","ownership_round2: Bisnis Indonesia commercial ownership mapped to private; bias and factuality still lack exact third-party rating",codex,2026-06-26
haaretz.com,private,,,,,,,"https://en.wikipedia.org/wiki/Haaretz","ownership_round2: Haaretz ownership mapped to private commercial media",codex,2026-06-26
philstar.com,private,,,,,,,"https://en.wikipedia.org/wiki/The_Philippine_Star","ownership_round2: Philippine Star ownership mapped to private commercial media",codex,2026-06-26
