domain,site_id,source_name,country,region,region_code,source_type,layer,priority_tier,ownership_type,geo_alignment,political_leaning,credibility_tier,label_confidence,evidence_url,evidence_note,review_status,article_count_snapshot,profile_version,updated_at
businesstimes.com.sg,businesstimes_com_sg,The Business Times,Singapore,asia,AS,business_media,media_narrative,P1,private,global_south,center,unknown,medium,https://www.allsides.com/news-source/business-times-media-bias,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label; review_import: rating_round2: AllSides rates The Business Times Center; ownership_round2: SPH Media owns The Business Times; secondary_evidence=https://en.wikipedia.org/wiki/SPH_Media; reviewer=codex; reviewed_at=2026-06-26,reviewed,26622,media_profile_seed_v1,2026-06-26 12:56:24.236883+00:00
cbsnews.com,cbsnews_com,CBS News,United States,north_america,NA,global_major_media,media_narrative,P0,private,western,center,high,high,https://ground.news/interest/cbs-news,seeded_from_historical_wave1_targets; ground_news_rating_v1: Ground News lists CBS News as Center and Very High factuality,reviewed,25651,media_profile_seed_v1,2026-06-26 12:27:17.853192+00:00
channelnewsasia.com,channelnewsasia_com,CNA,Singapore,asia,AS,regional_major_media,media_narrative,P0,state,global_south,center,high,high,https://ground.news/interest/channel-news-asia,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label; ground_news_rating_v1: Ground News lists Channel News Asia as Center and Very High factuality; review_import: ownership_round2: CNA owned by Mediacorp; Mediacorp is state-owned through Temasek; mapped to state; secondary_evidence=https://en.wikipedia.org/wiki/CNA_(TV_network); reviewer=codex; reviewed_at=2026-06-26,reviewed,100,media_profile_seed_v1,2026-06-26 12:56:24.237277+00:00
clarin.com,clarin_mundo,Clarin,Argentina,latin_america,LA,national_major_media,media_narrative,P1,private,global_south,center_right,high,high,https://ground.news/interest/clarin_5fa6ca,seeded_from_historical_wave1_targets; ground_news_rating_v1: Ground News lists Clarin as Lean Right and High factuality; review_import: ownership_round2: Media Ownership Monitor company page for Grupo Clarin; secondary_evidence=https://argentina.mom-gmr.org/en/owners/companies/detail/company//grupo-clarin-1/; reviewer=codex; reviewed_at=2026-06-26,reviewed,23797,media_profile_seed_v1,2026-06-26 12:56:24.236954+00:00
csmonitor.com,csmonitor_com,The Christian Science Monitor,United States,global,GL,global_major_media,media_narrative,P1,nonprofit,western,center,high,high,https://ground.news/interest/the-christian-science-monitor,seeded_from_historical_wave1_targets; ground_news_rating_v1: Ground News lists The Christian Science Monitor as Center and Very High factuality; review_import: ownership_round2: CSM says it is owned by The First Church of Christ Scientist; mapped to nonprofit; secondary_evidence=https://www.csmonitor.com/About; reviewer=codex; reviewed_at=2026-06-26,reviewed,24367,media_profile_seed_v1,2026-06-26 12:56:24.236948+00:00
dailymaverick.co.za,dailymaverick,Daily Maverick,South Africa,africa,AF,national_major_media,media_narrative,P1,private,global_south,center,high,high,https://ground.news/interest/daily-maverick,seeded_from_historical_wave1_targets; ground_news_rating_v1: Ground News lists Daily Maverick as Center and High factuality; review_import: ownership_round2: Daily Maverick corporate/about page used for private independent media mapping; secondary_evidence=https://www.dailymaverick.co.za/about/; reviewer=codex; reviewed_at=2026-06-26,reviewed,9824,media_profile_seed_v1,2026-06-26 12:56:24.236999+00:00
dawnnews.tv,dawnnews_tv,Dawn News,Pakistan,south_asia,SA,national_major_media,media_narrative,P0,private,global_south,center_left,medium,medium,https://ground.news/interest/dawn_a02aa2,"seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label; ground_news_rating_v1: Ground News lists Dawn as Lean Left and High factuality; MBFC lists Dawn mostly factual/medium credibility, so mapped to medium; review_import: ownership_round2: Dawn News ownership mapped to private commercial media; secondary_evidence=https://en.wikipedia.org/wiki/Dawn_News; reviewer=codex; reviewed_at=2026-06-26",reviewed,136,media_profile_seed_v1,2026-06-26 12:56:24.237264+00:00
detik.com,detik_com,Detik,Indonesia,asia,AS,national_major_media,media_narrative,P1,private,global_south,unknown,unknown,low,https://news.detik.com,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label; review_import: ownership_round2: Detik commercial ownership mapped to private; bias and factuality still lack exact third-party rating; secondary_evidence=https://en.wikipedia.org/wiki/Detik.com; reviewer=codex; reviewed_at=2026-06-26,needs_review,1449,media_profile_seed_v1,2026-06-26 12:56:24.237134+00:00
diplomatie.gouv.fr,france_diplomatie,France Diplomatie,France,europe,EU,foreign_ministry,official_direct,P1,government,western,state_aligned,medium,medium,https://www.diplomatie.gouv.fr,seeded_from_historical_wave1_targets; ownership inferred structurally from source_type=foreign_ministry; structural_review_v1: official/intergovernmental source treated as institutional state_aligned; credibility remains medium pending external factuality rating,reviewed,6704,media_profile_seed_v1,2026-06-26 11:41:11.086690+00:00
dn.pt,dn_pt,Diario de Noticias,Portugal,europe,EU,national_major_media,media_narrative,P1,private,western,unknown,unknown,low,https://www.dn.pt,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label; review_import: ownership_round2: Diario de Noticias commercial ownership mapped to private; bias and factuality still lack exact third-party rating; secondary_evidence=https://en.wikipedia.org/wiki/Di%C3%A1rio_de_Not%C3%ADcias; reviewer=codex; reviewed_at=2026-06-26,needs_review,5336,media_profile_seed_v1,2026-06-26 12:56:24.237067+00:00
dpa.com,dpa_com,dpa,Germany,europe,EU,wire_service,wire_fast,P1,wire_service,western,center,high,high,https://mediabiasfactcheck.com/deutsche-presse-agentur-dpa/,seeded_from_historical_wave1_targets; ownership inferred structurally from source_type=wire_service; structural_review_v1: wire service credibility seed; political leaning requires external rating; mbfc_rating_v1: Media Bias/Fact Check lists dpa as Least Biased and High factuality,reviewed,187,media_profile_seed_v1,2026-06-26 12:27:17.860765+00:00
dw.com,dw_english,DW,Germany,europe,EU,public_broadcaster,media_narrative,P1,public,western,center,high,high,https://ground.news/interest/deutsche-welle,seeded_from_historical_wave1_targets; ownership inferred structurally from source_type=public_broadcaster; structural_review_v1: public broadcaster credibility seed; political leaning requires external rating; ground_news_rating_v1: Ground News lists Deutsche Welle as Center and Very High factuality,reviewed,25374,media_profile_seed_v1,2026-06-26 12:27:17.848159+00:00
ec.europa.eu,eu_commission_press,European Commission,European Union,europe,EU,supranational_executive,official_direct,P0,intergovernmental,western,state_aligned,medium,medium,https://ec.europa.eu,seeded_from_historical_wave1_targets; ownership inferred structurally from source_type=supranational_executive; structural_review_v1: official/intergovernmental source treated as institutional state_aligned; credibility remains medium pending external factuality rating,reviewed,150,media_profile_seed_v1,2026-06-26 11:41:11.086708+00:00
ecowas.int,ecowas_news,ECOWAS,International,africa,AF,international_organization,official_direct,P1,intergovernmental,global_south,state_aligned,medium,medium,https://www.ecowas.int,seeded_from_historical_wave1_targets; ownership inferred structurally from source_type=international_organization; structural_review_v1: official/intergovernmental source treated as institutional state_aligned; credibility remains medium pending external factuality rating,reviewed,1129,media_profile_seed_v1,2026-06-26 11:41:11.086712+00:00
eeas.europa.eu,eeas_europa,European External Action Service,European Union,europe,EU,foreign_service,official_direct,P0,intergovernmental,western,state_aligned,medium,medium,https://www.eeas.europa.eu,seeded_from_historical_wave1_targets; ownership inferred structurally from source_type=foreign_service; structural_review_v1: official/intergovernmental source treated as institutional state_aligned; credibility remains medium pending external factuality rating,reviewed,559,media_profile_seed_v1,2026-06-26 11:41:11.086716+00:00
efe.com,efe_com,EFE,Spain,latin_america,LA,wire_service,wire_fast,P1,wire_service,western,center,high,high,https://ground.news/interest/efe,seeded_from_historical_wave1_targets; ownership inferred structurally from source_type=wire_service; structural_review_v1: wire service credibility seed; political leaning requires external rating; ground_news_rating_v1: Ground News lists EFE as Center and High factuality,reviewed,22982,media_profile_seed_v1,2026-06-26 12:27:17.861560+00:00
elcomercio.pe,el_comercio_pe,El Comercio,Peru,latin_america,LA,national_major_media,media_narrative,P1,private,global_south,unknown,unknown,low,https://ground.news/interest/el-comercio,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label; review_import: rating_round2: Ground News lists bias and factuality as unknown; ownership_round2: El Comercio commercial ownership mapped to private; secondary_evidence=https://en.wikipedia.org/wiki/El_Comercio_(Peru); reviewer=codex; reviewed_at=2026-06-26,reviewed,1996,media_profile_seed_v1,2026-06-26 12:56:24.237093+00:00
elespectador.com,el_espectador_politica,El Espectador,Colombia,latin_america,LA,national_major_media,media_narrative,P1,private,global_south,unknown,unknown,low,https://ground.news/interest/el-espectador,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label; review_import: rating_round2: Ground News lists bias and factuality as unknown; ownership_round2: El Espectador commercial ownership mapped to private; secondary_evidence=https://en.wikipedia.org/wiki/El_Espectador; reviewer=codex; reviewed_at=2026-06-26,reviewed,1017,media_profile_seed_v1,2026-06-26 12:56:24.237153+00:00
eltiempo.com,el_tiempo_mundo,El Tiempo,Colombia,latin_america,LA,national_major_media,media_narrative,P1,private,global_south,unknown,unknown,low,https://ground.news/interest/el-tiempo,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label; review_import: rating_round2: Ground News lists bias and factuality as unknown; ownership_round2: El Tiempo commercial ownership mapped to private; secondary_evidence=https://en.wikipedia.org/wiki/El_Tiempo_(Colombia); reviewer=codex; reviewed_at=2026-06-26,reviewed,13569,media_profile_seed_v1,2026-06-26 12:56:24.236980+00:00
eluniversal.com.mx,el_universal_mx,El Universal,Mexico,latin_america,LA,national_major_media,media_narrative,P1,private,global_south,left,unknown,medium,https://ground.news/interest/el-universal,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label; review_import: rating_round2: Ground News and AllSides rate El Universal Left while factuality remains unknown; ownership_round2: commercial ownership mapped to private; secondary_evidence=https://en.wikipedia.org/wiki/El_Universal_(Mexico_City); reviewer=codex; reviewed_at=2026-06-26,reviewed,254,media_profile_seed_v1,2026-06-26 12:56:24.237229+00:00
en.yna.co.kr,yonhap_english,Yonhap News Agency,South Korea,asia,AS,wire_service,wire_fast,P1,wire_service,western,center_right,high,high,https://ground.news/interest/_ae7d36,seeded_from_historical_wave1_targets; ownership inferred structurally from source_type=wire_service; structural_review_v1: wire service credibility seed; political leaning requires external rating; ground_news_rating_v1: Ground News lists Yonhap News Agency as Lean Right and High factuality,reviewed,124,media_profile_seed_v1,2026-06-26 12:27:17.862113+00:00
express.pk,express_pk,The Express Tribune,Pakistan,south_asia,SA,national_major_media,media_narrative,P1,private,global_south,center,high,high,https://ground.news/interest/the-express-tribune,seeded_from_historical_wave1_targets; ground_news_rating_v1: Ground News lists The Express Tribune as Center and High factuality,reviewed,27061,media_profile_seed_v1,2026-06-26 12:27:17.848912+00:00
faz.net,faz_net,FAZ,Germany,europe,EU,national_major_media,media_narrative,P0,nonprofit,western,center_right,high,high,https://ground.news/interest/frankfurter-allgemeine,seeded_from_historical_wave1_targets; ground_news_rating_v1: Ground News lists Frankfurter Allgemeine Zeitung as Lean Right and High factuality; review_import: ownership_round2: Media Ownership Monitor describes FAZIT Foundation nonprofit structure; secondary_evidence=https://germany.mom-gmr.org/en/owners/individual-owners/owner/fazit-foundation-115746; reviewer=codex; reviewed_at=2026-06-26,reviewed,7461,media_profile_seed_v1,2026-06-26 12:56:24.237025+00:00
focustaiwan.tw,focus_taiwan,Focus Taiwan,Taiwan,asia,AS,wire_service,wire_fast,P1,wire_service,western,center,high,high,https://ground.news/interest/focus-taiwan,seeded_from_historical_wave1_targets; ownership inferred structurally from source_type=wire_service; structural_review_v1: wire service credibility seed; political leaning requires external rating; ground_news_rating_v1: Ground News lists Focus Taiwan as Center and High factuality,reviewed,27,media_profile_seed_v1,2026-06-26 12:27:17.863410+00:00
folha.uol.com.br,folha_mundo,Folha de S.Paulo,Brazil,latin_america,LA,national_major_media,media_narrative,P1,private,global_south,unknown,unknown,low,https://ground.news/interest/folhacombr,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label; review_import: rating_round2: Ground News lists bias and factuality as unknown; ownership_round2: Folha commercial ownership mapped to private; secondary_evidence=https://en.wikipedia.org/wiki/Folha_de_S.Paulo; reviewer=codex; reviewed_at=2026-06-26,reviewed,840,media_profile_seed_v1,2026-06-26 12:56:24.237160+00:00
france24.com,france24_english,France 24,France,europe,EU,public_broadcaster,media_narrative,P1,public,western,center,high,high,https://ground.news/interest/france24,seeded_from_historical_wave1_targets; ownership inferred structurally from source_type=public_broadcaster; structural_review_v1: public broadcaster credibility seed; political leaning requires external rating; ground_news_rating_v1: Ground News lists France 24 as Center and High factuality,reviewed,14674,media_profile_seed_v1,2026-06-26 12:27:17.864007+00:00
freemalaysiatoday.com,freemalaysiatoday_com,Free Malaysia Today,Malaysia,asia,AS,national_major_media,media_narrative,P0,private,global_south,center_right,medium,high,https://mediabiasfactcheck.com/free-malaysia-today-bias-and-credibility/,seeded_from_historical_wave1_targets; mbfc_rating_v1: Media Bias/Fact Check lists Free Malaysia Today as Right-Center and Mixed factuality; review_import: ownership_round2: FMT site identifies FMT Media Sdn Bhd and leadership; secondary_evidence=https://www.freemalaysiatoday.com/about; reviewer=codex; reviewed_at=2026-06-26,reviewed,26276,media_profile_seed_v1,2026-06-26 12:56:24.236915+00:00
geo.tv,geo_tv,Geo News,Pakistan,south_asia,SA,national_major_media,media_narrative,P0,private,global_south,center_right,high,high,https://ground.news/interest/geo-news,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label; ground_news_rating_v1: Ground News lists Geo News as Lean Right and High factuality; review_import: ownership_round2: Geo News ownership mapped to private commercial media; secondary_evidence=https://en.wikipedia.org/wiki/Geo_News; reviewer=codex; reviewed_at=2026-06-26,reviewed,137,media_profile_seed_v1,2026-06-26 12:56:24.237258+00:00
gob.mx,mexico_sre,Mexico Foreign Ministry,Mexico,latin_america,LA,foreign_ministry,official_direct,P1,government,global_south,state_aligned,medium,medium,https://www.gob.mx,seeded_from_historical_wave1_targets; ownership inferred structurally from source_type=foreign_ministry; structural_review_v1: official/intergovernmental source treated as institutional state_aligned; credibility remains medium pending external factuality rating,reviewed,16752,media_profile_seed_v1,2026-06-26 11:41:11.086771+00:00
gulfnews.com,gulf_news_world,Gulf News,United Arab Emirates,middle_east,ME,national_major_media,media_narrative,P1,private,middle_east,center_right,medium,high,https://ground.news/interest/gulf-news,seeded_from_historical_wave1_targets; ground_news_rating_v1: Ground News lists Gulf News as Lean Right and Mixed factuality; review_import: ownership_round2: Gulf News ownership mapped to private commercial media; secondary_evidence=https://en.wikipedia.org/wiki/Gulf_News; reviewer=codex; reviewed_at=2026-06-26,reviewed,3375,media_profile_seed_v1,2026-06-26 12:56:24.237073+00:00
haaretz.com,haaretz_com,Haaretz,Israel,middle_east,ME,national_major_media,media_narrative,P0,private,middle_east,left,high,high,https://ground.news/interest/haaretz,seeded_from_historical_wave1_targets; ground_news_rating_v1: Ground News lists Haaretz as Left and High factuality; review_import: ownership_round2: Haaretz ownership mapped to private commercial media; secondary_evidence=https://en.wikipedia.org/wiki/Haaretz; reviewer=codex; reviewed_at=2026-06-26,reviewed,55,media_profile_seed_v1,2026-06-26 12:56:24.237289+00:00
haberturk.com,haberturk_com,Haberturk,Turkey,middle_east,ME,national_major_media,media_narrative,P1,private,middle_east,unknown,unknown,low,https://www.haberturk.com,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label; review_import: ownership_round2: Media Ownership Monitor records Ciner ownership; bias and factuality still need current exact rating after ownership change reports; secondary_evidence=https://turkey.mom-rsf.org/en/owners/companies/detail/company//ciner-group-1/; reviewer=codex; reviewed_at=2026-06-26,needs_review,25156,media_profile_seed_v1,2026-06-26 12:56:24.236935+00:00
hindustantimes.com,hindustantimes_com,Hindustan Times,India,south_asia,SA,national_major_media,media_narrative,P0,private,global_south,center,medium,high,https://ground.news/interest/hindustan-times,seeded_from_historical_wave1_targets; ground_news_rating_v1: Ground News lists Hindustan Times as Center and Mixed factuality; review_import: ownership_round2: Media Ownership Monitor identifies HT Media commercial ownership; secondary_evidence=https://pakistan.mom-gmr.org/en/owners/companies/detail/company/company/show/ht-media/; reviewer=codex; reviewed_at=2026-06-26,reviewed,26416,media_profile_seed_v1,2026-06-26 12:56:24.236902+00:00
hurriyetdailynews.com,hurriyetdailynews_com,Hurriyet Daily News,Turkey,middle_east,ME,national_major_media,media_narrative,P0,private,middle_east,right,medium,high,https://ground.news/interest/hurriyet-daily-news,seeded_from_historical_wave1_targets; ground_news_rating_v1: Ground News lists Hurriyet Daily News as Right and Mixed factuality; review_import: ownership_round2: Hurriyet Daily News ownership mapped to private commercial media; secondary_evidence=https://en.wikipedia.org/wiki/Hurriyet_Daily_News; reviewer=codex; reviewed_at=2026-06-26,reviewed,10934,media_profile_seed_v1,2026-06-26 12:56:24.236993+00:00
indianexpress.com,indian_express_world,The Indian Express,India,south_asia,SA,national_major_media,media_narrative,P1,private,global_south,center_left,medium,medium,https://ground.news/interest/indian-express,"seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label; ground_news_rating_v1: Ground News lists Indian Express as Lean Left and High factuality; MBFC lists mixed factuality, so mapped conservatively to medium; review_import: ownership_round2: Indian Express ownership mapped to private commercial media; secondary_evidence=https://en.wikipedia.org/wiki/The_Indian_Express; reviewer=codex; reviewed_at=2026-06-26",reviewed,1545,media_profile_seed_v1,2026-06-26 12:56:24.237121+00:00
irna.ir,irna_ir,IRNA,Iran,middle_east,ME,state_media,wire_fast,P0,state,middle_east,state_aligned,medium,medium,https://www.irna.ir,seeded_from_historical_wave1_targets; ownership inferred structurally from source_type=state_media; structural_review_v1: state_media treated as state_aligned; credibility remains medium pending external factuality rating,reviewed,26945,media_profile_seed_v1,2026-06-26 11:41:11.086793+00:00
jpost.com,jpost_com,The Jerusalem Post,Israel,middle_east,ME,national_major_media,media_narrative,P0,private,middle_east,center,high,high,https://ground.news/interest/jerusalem-post,seeded_from_historical_wave1_targets; ground_news_rating_v1: Ground News lists Jerusalem Post as Center and High factuality; review_import: ownership_round2: Jerusalem Post states Eli Azur retains ownership; secondary_evidence=https://www.jpost.com/landedpages/aboutus.aspx; reviewer=codex; reviewed_at=2026-06-26,reviewed,26980,media_profile_seed_v1,2026-06-26 12:56:24.236839+00:00
kompas.com,kompas_com,Kompas,Indonesia,asia,AS,national_major_media,media_narrative,P1,private,global_south,center,high,high,https://ground.news/interest/kompas,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label; ground_news_rating_v1: Ground News lists Kompas as Center and High factuality; review_import: ownership_round2: Kompas ownership mapped to private commercial media; secondary_evidence=https://en.wikipedia.org/wiki/Kompas_(newspaper); reviewer=codex; reviewed_at=2026-06-26,reviewed,617,media_profile_seed_v1,2026-06-26 12:56:24.237187+00:00
koreaherald.com,korea_herald,The Korea Herald,South Korea,asia,AS,national_major_media,media_narrative,P1,private,western,center_right,high,high,https://ground.news/interest/the-korea-herald,seeded_from_historical_wave1_targets; ground_news_rating_v1: Ground News lists The Korea Herald as Lean Right and High factuality; review_import: ownership_round2: Korea Herald ownership mapped to private commercial media; secondary_evidence=https://en.wikipedia.org/wiki/The_Korea_Herald; reviewer=codex; reviewed_at=2026-06-26,reviewed,3256,media_profile_seed_v1,2026-06-26 12:56:24.237086+00:00
