site_id,url,domain,seed_tier,seed_type,layer,priority_tier,region,source_type,signal_role,notes,seed_origin,robots_url,robots_status,robots_has_sitemap,candidate_sitemap_count,accessible_sitemap_count,accessible_sitemaps,accessible_feed_count,accessible_feeds,historical_strategy,expected_coverage,wayback_fallback,seed_has_archive_hint
vov_vn,http://vov.vn/chinh-tri,vov.vn,B,major_media,media_narrative,P1,asia,public_broadcaster,narrative_and_agenda,strong Vietnam public broadcaster,http://vov.vn,http://vov.vn/robots.txt,200,0,8,0,[],0,[],gdelt_or_wayback_plus_direct_fetch,low,1,0
ynetnews_com,https://www.ynetnews.com/category/9733,ynetnews.com,A,national_media,media_narrative,P0,middle_east,national_major_media,narrative_and_agenda,major Israel English source,https://www.ynetnews.com,https://www.ynetnews.com/robots.txt,200,0,8,0,[],0,[],gdelt_or_wayback_plus_direct_fetch,low,1,0
argentina_cancilleria,https://www.cancilleria.gob.ar/en/news,cancilleria.gob.ar,A,official,official_direct,P1,latin_america,foreign_ministry,official_position,official Argentina foreign ministry news,https://www.cancilleria.gob.ar,https://www.cancilleria.gob.ar/robots.txt,0,0,8,0,[],0,[],gdelt_or_wayback_plus_direct_fetch,low,1,0
canada_gac,https://www.international.gc.ca/global-affairs-affaires-mondiales/news-nouvelles/index.aspx?lang=eng,international.gc.ca,A,official,official_direct,P1,north_america,foreign_ministry,official_position,official Canadian foreign affairs signal,https://www.international.gc.ca,https://www.international.gc.ca/robots.txt,200,0,8,0,[],0,[],gdelt_or_wayback_plus_direct_fetch,low,1,0
china_mfa,https://www.mfa.gov.cn/eng/xw/,mfa.gov.cn,A,official,official_direct,P0,asia,foreign_ministry,official_position,official China foreign ministry news,https://www.mfa.gov.cn,https://www.mfa.gov.cn/robots.txt,0,0,8,0,[],0,[],gdelt_or_wayback_plus_direct_fetch,low,1,0
colombia_cancilleria,https://www.cancilleria.gov.co/sala-de-prensa/noticias,cancilleria.gov.co,A,official,official_direct,P1,latin_america,foreign_ministry,official_position,official Colombia foreign ministry newsroom,https://www.cancilleria.gov.co,https://www.cancilleria.gov.co/robots.txt,0,0,8,0,[],0,[],gdelt_or_wayback_plus_direct_fetch,low,1,0
egypt_mfa,https://www.mfa.gov.eg/,mfa.gov.eg,A,official,official_direct,P1,middle_east,foreign_ministry,official_position,official Egypt foreign ministry signal source,https://www.mfa.gov.eg,https://www.mfa.gov.eg/robots.txt,0,0,8,0,[],0,[],gdelt_or_wayback_plus_direct_fetch,low,1,0
ethiopia_mfa,https://mfa.gov.et/news,mfa.gov.et,A,official,official_direct,P1,africa,foreign_ministry,official_position,official Ethiopia foreign ministry news,https://mfa.gov.et,https://mfa.gov.et/robots.txt,0,0,8,0,[],0,[],gdelt_or_wayback_plus_direct_fetch,low,1,0
fcdo_gov_uk,https://www.gov.uk/government/organisations/foreign-commonwealth-development-office,gov.uk,A,official,official_direct,P0,europe,foreign_ministry,official_position,official UK foreign office news and communications,https://www.gov.uk,https://www.gov.uk/robots.txt,0,0,8,0,[],0,[],gdelt_or_wayback_plus_direct_fetch,low,1,0
id_mofcom_gov_cn,https://fdi.mofcom.gov.cn/EN/come-zonghe-list.html,id.mofcom.gov.cn,A,official,official_direct,P1,asia,economic_ministry,official_position,official China commerce and investment policy signal,https://fdi.mofcom.gov.cn,https://fdi.mofcom.gov.cn/robots.txt,0,0,8,0,[],0,[],gdelt_or_wayback_plus_direct_fetch,low,1,0
israel_mfa,https://www.gov.il/en/departments/ministry_of_foreign_affairs,gov.il,A,official,official_direct,P1,middle_east,foreign_ministry,official_position,official Israeli foreign ministry news and statements,https://www.gov.il,https://www.gov.il/robots.txt,0,0,8,0,[],0,[],gdelt_or_wayback_plus_direct_fetch,low,1,0
peru_rree,https://www.gob.pe/institucion/rree/noticias,gob.pe,A,official,official_direct,P1,latin_america,foreign_ministry,official_position,official Peru foreign ministry news and press releases,https://www.gob.pe,https://www.gob.pe/robots.txt,200,1,9,0,[],0,[],gdelt_or_wayback_plus_direct_fetch,low,1,0
qatar_mofa,https://mofa.gov.qa/en/all-mofa-news,mofa.gov.qa,A,official,official_direct,P1,middle_east,foreign_ministry,official_position,official Qatar foreign ministry statements and ministry news,https://mofa.gov.qa,https://mofa.gov.qa/robots.txt,0,0,8,0,[],0,[],gdelt_or_wayback_plus_direct_fetch,low,1,0
saudi_mofa,https://www.mofa.gov.sa/en/ministry/news/Pages/default.aspx,mofa.gov.sa,A,official,official_direct,P1,middle_east,foreign_ministry,official_position,official Saudi foreign ministry news,https://www.mofa.gov.sa,https://www.mofa.gov.sa/robots.txt,0,0,8,0,[],0,[],gdelt_or_wayback_plus_direct_fetch,low,1,0
southkorea_mofa,https://www.mofa.go.kr/eng/index.do,mofa.go.kr,A,official,official_direct,P1,asia,foreign_ministry,official_position,official Korea foreign ministry portal,https://www.mofa.go.kr,https://www.mofa.go.kr/robots.txt,0,0,8,0,[],0,[],gdelt_or_wayback_plus_direct_fetch,low,1,0
sri_lanka_mfa,https://www.mfa.gov.lk/en/news/ministry-news,mfa.gov.lk,A,official,official_direct,P1,south_asia,foreign_ministry,official_position,official Sri Lanka foreign ministry news,https://www.mfa.gov.lk,https://www.mfa.gov.lk/robots.txt,0,0,8,0,[],0,[],gdelt_or_wayback_plus_direct_fetch,low,1,0
taiwan_mofa,https://en.mofa.gov.tw/News.aspx?n=1328&sms=273,en.mofa.gov.tw,A,official,official_direct,P1,asia,foreign_ministry,official_position,official Taiwan foreign ministry news and responses,https://en.mofa.gov.tw,https://en.mofa.gov.tw/robots.txt,0,0,8,0,[],0,[],gdelt_or_wayback_plus_direct_fetch,low,1,0
uae_mofa,https://www.mofaic.gov.ae/en/,mofaic.gov.ae,A,official,official_direct,P1,middle_east,foreign_ministry,official_position,official UAE foreign ministry statements and releases,https://www.mofaic.gov.ae,https://www.mofaic.gov.ae/robots.txt,0,0,8,0,[],0,[],gdelt_or_wayback_plus_direct_fetch,low,1,0
ukraine_mfa,https://mfa.gov.ua/en/news,mfa.gov.ua,A,official,official_direct,P1,europe,foreign_ministry,official_position,official Ukraine foreign ministry statements and news,https://mfa.gov.ua,https://mfa.gov.ua/robots.txt,0,0,8,0,[],0,[],gdelt_or_wayback_plus_direct_fetch,low,1,0
un_org,https://news.un.org/en/news,un.org,A,official,official_direct,P0,global,international_organization,official_position,official UN news and statements,https://news.un.org,https://news.un.org/robots.txt,200,0,8,0,[],0,[],gdelt_or_wayback_plus_direct_fetch,low,1,0
vietnam_mofa,https://mofa.gov.vn/en/web/ministry-of-foreign-affairs,mofa.gov.vn,A,official,official_direct,P1,asia,foreign_ministry,official_position,official Vietnam foreign ministry portal with spokesperson and press release sections,https://mofa.gov.vn,https://mofa.gov.vn/robots.txt,0,0,8,0,[],0,[],gdelt_or_wayback_plus_direct_fetch,low,1,0
whitehouse_gov,https://www.whitehouse.gov/news/,whitehouse.gov,A,official,official_direct,P0,north_america,executive_government,official_position,official White House releases and briefings,https://www.whitehouse.gov,https://www.whitehouse.gov/robots.txt,0,0,8,0,[],0,[],gdelt_or_wayback_plus_direct_fetch,low,1,0
unb_com_bd,https://unb.com.bd/latestnews,unb.com.bd,A,wire,wire_fast,P1,south_asia,wire_service,event_baseline,useful Bangladesh wire,https://unb.com.bd,https://unb.com.bd/robots.txt,200,0,8,0,[],0,[],gdelt_or_wayback_plus_direct_fetch,low,1,0
xinhua_english,https://english.news.cn/,english.news.cn,A,wire,wire_fast,P1,asia,state_media,event_baseline,official China wire perspective in English,https://english.news.cn,https://english.news.cn/robots.txt,404,0,8,0,[],0,[],gdelt_or_wayback_plus_direct_fetch,low,1,0
australia_dfat,https://www.dfat.gov.au/news-speeches-and-media,dfat.gov.au,A,official,official_direct,P1,asia_pacific,foreign_ministry,official_position,official Australian foreign ministry signal,https://www.dfat.gov.au,https://www.dfat.gov.au/robots.txt,0,0,8,0,[],0,[],section_archive_plus_wayback,medium,1,1
bangladesh_mofa,https://mofa.gov.bd/pages/press-releases,mofa.gov.bd,A,official,official_direct,P1,south_asia,foreign_ministry,official_position,official Bangladesh foreign ministry press releases,https://mofa.gov.bd,https://mofa.gov.bd/robots.txt,0,0,8,0,[],0,[],section_archive_plus_wayback,medium,1,1
brazil_mre,https://www.gov.br/mre/en/contact-us/press-area/press-releases,gov.br/mre,A,official,official_direct,P1,latin_america,foreign_ministry,official_position,official Brazil foreign ministry press area,https://www.gov.br,https://www.gov.br/robots.txt,0,0,8,0,[],0,[],section_archive_plus_wayback,medium,1,1
india_mea,https://www.mea.gov.in/press-releases,mea.gov.in,A,official,official_direct,P0,south_asia,foreign_ministry,official_position,official India external affairs releases,https://www.mea.gov.in,https://www.mea.gov.in/robots.txt,0,0,8,0,[],0,[],section_archive_plus_wayback,medium,1,1
japan_mofa,https://www.mofa.go.jp/press/release/index.html,mofa.go.jp,A,official,official_direct,P0,asia,foreign_ministry,official_position,official Japan foreign ministry releases,https://www.mofa.go.jp,https://www.mofa.go.jp/robots.txt,403,0,8,0,[],0,[],section_archive_plus_wayback,medium,1,1
kenya_mfa,https://mfa.go.ke/allnews,mfa.go.ke,A,official,official_direct,P1,africa,foreign_ministry,official_position,official Kenya foreign affairs news and diplomacy updates,https://mfa.go.ke,https://mfa.go.ke/robots.txt,0,0,8,0,[],0,[],section_archive_plus_wayback,medium,1,1
malaysia_mfa,https://www.kln.gov.my/web/guest/press-releases,kln.gov.my,A,official,official_direct,P1,asia,foreign_ministry,official_position,official Malaysia foreign ministry press releases,https://www.kln.gov.my,https://www.kln.gov.my/robots.txt,0,0,8,0,[],0,[],section_archive_plus_wayback,medium,1,1
newzealand_mfat,https://www.mfat.govt.nz/en/media-and-resources,mfat.govt.nz,A,official,official_direct,P1,asia_pacific,foreign_ministry,official_position,official New Zealand foreign affairs and trade statements and resources,https://www.mfat.govt.nz,https://www.mfat.govt.nz/robots.txt,0,0,8,0,[],0,[],section_archive_plus_wayback,medium,1,1
nigeria_mfa,https://foreignaffairs.gov.ng/news/latest-news/,foreignaffairs.gov.ng,A,official,official_direct,P1,africa,foreign_ministry,official_position,official Nigeria foreign ministry news and press releases,https://foreignaffairs.gov.ng,https://foreignaffairs.gov.ng/robots.txt,0,0,8,0,[],0,[],section_archive_plus_wayback,medium,1,1
oas_news,https://www.oas.org/en/media_center/default.asp,oas.org,A,official,official_direct,P1,latin_america,international_organization,official_position,official Americas multilateral organization statements,https://www.oas.org,https://www.oas.org/robots.txt,403,0,8,0,[],0,[],section_archive_plus_wayback,medium,1,1
osce_press,https://www.osce.org/press-releases,osce.org,A,official,official_direct,P1,europe,international_organization,official_position,official European security and election monitoring statements,https://www.osce.org,https://www.osce.org/robots.txt,200,0,8,0,[],0,[],section_archive_plus_wayback,medium,1,1
pakistan_mofa,https://mofa.gov.pk/press-releases,mofa.gov.pk,A,official,official_direct,P1,south_asia,foreign_ministry,official_position,official Pakistan foreign ministry press releases,https://mofa.gov.pk,https://mofa.gov.pk/robots.txt,0,0,8,0,[],0,[],section_archive_plus_wayback,medium,1,1
singapore_mfa,https://www.mfa.gov.sg/newsroom/press-statements-transcripts-and-photos/,mfa.gov.sg,A,official,official_direct,P1,asia,foreign_ministry,official_position,official Singapore foreign ministry press statements,https://www.mfa.gov.sg,https://www.mfa.gov.sg/robots.txt,0,0,8,0,[],0,[],section_archive_plus_wayback,medium,1,1
southafrica_dirco,https://dirco.gov.za/media-statements/,dirco.gov.za,A,official,official_direct,P1,africa,foreign_ministry,official_position,official South Africa foreign policy statements,https://dirco.gov.za,https://dirco.gov.za/robots.txt,0,0,8,0,[],0,[],section_archive_plus_wayback,medium,1,1
state_gov,https://www.state.gov/press-releases,state.gov,A,official,official_direct,P0,north_america,foreign_ministry,official_position,official US State Department releases,https://www.state.gov,https://www.state.gov/robots.txt,0,0,8,0,[],0,[],section_archive_plus_wayback,medium,1,1
turkiye_mfa,https://www.mfa.gov.tr/press-information.en.mfa,mfa.gov.tr,A,official,official_direct,P1,middle_east,foreign_ministry,official_position,official Türkiye foreign ministry statements,https://www.mfa.gov.tr,https://www.mfa.gov.tr/robots.txt,0,0,8,0,[],0,[],section_archive_plus_wayback,medium,1,1
interfax_com,https://interfax.com/newsroom/top-stories/,interfax.com,A,wire,wire_fast,P0,europe,wire_service,event_baseline,important regional wire,https://interfax.com,https://interfax.com/robots.txt,0,0,8,0,[],0,[],section_archive_plus_wayback,medium,1,1
