site_id,url,domain,priority_tier,quality_tier,source_type,region,action,notes,classification_basis
akhbar_alkhaleej_com,http://www.akhbar-alkhaleej.com/news/section/BNEW,akhbar-alkhaleej.com,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
akhbarelyom_com,https://akhbarelyom.com/news/newssection/1/1/%D8%A3%D8%AE%D8%A8%D8%A7%D8%B1-%D9%85%D8%B5%D8%B1,akhbarelyom.com,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
akhbarona_com,https://www.akhbarona.com/world/index.1.html,akhbarona.com,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
akhbarwatan_net,http://akhbarwatan.net/category/news/,akhbarwatan.net,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
al_ain_com,https://al-ain.com/latestnews/,al-ain.com,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
al_sharq_com,https://al-sharq.com/category/%D8%B9%D8%B1%D8%A8%D9%8A-%D9%88%D8%AF%D9%88%D9%84%D9%8A,al-sharq.com,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
al_watan_com,https://www.al-watan.com/%D8%B9%D8%B1%D8%A8%D9%8A-%D9%88%D8%AF%D9%88%D9%84%D9%8A,al-watan.com,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
alakhbar_press_ma,https://www.alakhbar.press.ma/news/politique,alakhbar.press.ma,P2,C,regional_media_candidate,europe,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
alarab_qa,https://alarab.qa/category/%D9%85%D8%AD%D9%84%D9%8A%D8%A7%D8%AA,alarab.qa,P2,C,regional_media_candidate,middle_east,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
alayyam_info,https://www.alayyam.info/cat/7ELLY5TQ-G2DFQ3,alayyam.info,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
albiladpress_com,http://www.albiladpress.com/news/bahrain,albiladpress.com,P2,C,regional_media_candidate,europe,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
alchourouk_com,https://www.alchourouk.com/%D8%B9%D8%A7%D9%84%D9%85%D9%8A%D8%A9,alchourouk.com,P2,C,regional_media_candidate,europe,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
algeriatimes_net,https://www.algeriatimes.net/detail/category/2,algeriatimes.net,P2,C,regional_media_candidate,europe,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
alhaya_ps,https://www.alhaya.ps/ar/Category/43/arab-and-international,alhaya.ps,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
alittihad_ae,https://www.alittihad.ae/category/%D8%B9%D8%B1%D8%A8%D9%8A-%D9%88%D8%AF%D9%88%D9%84%D9%8A,alittihad.ae,P2,C,national_major_media,middle_east,selective_crawl,valuable UAE source,manual_or_curated
aljazeera_net,https://www.aljazeera.net/news/,aljazeera.net,P0,A,global_major_media,middle_east,primary_crawl,major source for Middle East coverage,manual_or_curated
allafrica_com,http://allafrica.com/latest/,allafrica.com,P2,C,regional_network,europe,selective_crawl,unclear source value; manual review recommended,heuristic
alquds_com,http://www.alquds.com/ar/categories/business,alquds.com,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
alrai_com,https://alrai.com/,alrai.com,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
alraimedia_com,https://www.alraimedia.com/%D8%A3%D8%AE%D8%A8%D8%A7%D8%B1-%D9%85%D8%AD%D9%84%D9%8A%D8%A9,alraimedia.com,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
alrakoba_net,https://www.alrakoba.net/%d8%a3%d8%ae%d8%a8%d8%a7%d8%b1-%d8%a7%d9%84%d8%b3%d9%88%d8%af%d8%a7%d9%86/,alrakoba.net,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
alriyadh_com,https://www.alriyadh.com/news.inter,alriyadh.com,P2,C,national_major_media,middle_east,selective_crawl,valuable Saudi source,manual_or_curated
althawrah_ye,http://althawrah.ye/archives/category/%d8%af%d9%88%d9%84%d9%8a,althawrah.ye,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
alwatannews_net,https://alwatannews.net/world,alwatannews.net,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
amarujala_com,https://www.amarujala.com/india-news,amarujala.com,P2,C,national_major_media,south_asia,selective_crawl,valuable Hindi source,manual_or_curated
americanprogress_org,https://www.americanprogress.org/topic/economy/,americanprogress.org,P2,C,public_broadcaster,europe,selective_crawl,unclear source value; manual review recommended,heuristic
ami_mr,http://www.ami.mr/archives/tag/%d8%b1%d8%a6%d9%80%d8%a7%d8%b3%d9%8a%d9%80%d8%a7%d8%aa-2024,ami.mr,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
anamurekspres_com,https://www.anamurekspres.com/haber/kategori/guncel-2,anamurekspres.com,P2,C,regional_media_candidate,europe,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
anandamela_in,https://www.anandamela.in/latest-news,anandamela.in,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
ankaragazete_com,http://www.ankaragazete.com/politika,ankaragazete.com,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
annahar_com,https://www.annahar.com/international,annahar.com,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
ansa_it,https://www.ansa.it/sito/notizie/topnews/index.shtml,ansa.it,P0,A,wire_service,europe,primary_crawl,major Italian wire,manual_or_curated
antakyagazetesi_com,http://www.antakyagazetesi.com/haber/gundem/,antakyagazetesi.com,P2,C,regional_media_candidate,europe,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
arynews_tv,https://arynews.tv/category/pakistan,arynews.tv,P1,B,national_major_media,south_asia,secondary_crawl,important Pakistan source,manual_or_curated
asahi_com,https://www.asahi.com/politics/?iref=pc_gnavi,asahi.com,P0,A,national_major_media,asia,primary_crawl,top Japanese daily,manual_or_curated
aseancenter_org_tw,http://www.aseancenter.org.tw/news/categories/%E6%9D%B1%E5%8D%94%E6%96%B0%E8%81%9E,aseancenter.org.tw,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
asia_cnn_com,https://edition.cnn.com/world,edition.cnn.com,P2,C,regional_major_media,europe,selective_crawl,unclear source value; manual review recommended,heuristic
asianews_network,https://asianews.network/tag/Afghanistan/,asianews.network,P2,C,regional_network,asia,selective_crawl,valuable cross Asia syndication,manual_or_curated
asianjournal_com,http://asianjournal.com/category/world/,asianjournal.com,P2,C,regional_major_media,global,selective_crawl,unclear source value; manual review recommended,heuristic
asiaone_com,http://www.asiaone.com/world,asiaone.com,P1,B,regional_major_media,asia,secondary_crawl,regional aggregator with useful coverage,manual_or_curated
asiapacific_ca,https://www.asiapacific.ca/insights,asiapacific.ca,P2,C,regional_major_media,global,selective_crawl,unclear source value; manual review recommended,heuristic
aspi_org_au,https://www.aspi.org.au/all-work/?s=&filter_tag=all&filter_programs=all&filter_category=report,aspi.org.au,P2,C,regional_media_candidate,asia_pacific,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
atulyaloktantranews_com,https://www.atulyaloktantranews.com/category/national/,atulyaloktantranews.com,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
avn_info_ve,http://www.avn.info.ve/politica/,avn.info.ve,P2,C,state_media,latin_america,selective_crawl,unclear source value; manual review recommended,heuristic
awesome_blog,https://awesome.blog/browse,awesome.blog,Drop,D,noise,global,drop,blog platform,manual_or_curated
aydinses_com,https://www.aydinses.com/gundem,aydinses.com,P2,C,regional_media_candidate,europe,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
bafrahaber_com,https://www.bafrahaber.com/gundem,bafrahaber.com,P2,C,regional_media_candidate,europe,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
bangkok_today_com,http://bangkok-today.com/category/%e0%b8%82%e0%b9%88%e0%b8%b2%e0%b8%a7/,bangkok-today.com,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
bangkokbiznews_com,http://www.bangkokbiznews.com/world/geopolitics,bangkokbiznews.com,P1,B,national_major_media,asia,secondary_crawl,strong geopolitics section,manual_or_curated
bangla_24livenewspaper_com,https://www.bangla.24livenewspaper.com/bangladesh,bangla.24livenewspaper.com,P2,C,regional_media_candidate,asia,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
bangla_aajtak_in,https://bangla.aajtak.in/desh,bangla.aajtak.in,P2,C,regional_media_candidate,asia,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
bangla_asianetnews_com,https://bangla.asianetnews.com/latest-news,bangla.asianetnews.com,P2,C,regional_major_media,asia,selective_crawl,unclear source value; manual review recommended,heuristic
bangla_bdnews24_com,https://bangla.bdnews24.com/world,bangla.bdnews24.com,P2,C,national_major_media,south_asia,selective_crawl,valuable Bengali coverage,manual_or_curated
bangla_kobita_com,https://www.bangla-kobita.com/ashor/,bangla-kobita.com,Drop,D,noise,south_asia,drop,poetry site,manual_or_curated
bangla_plus,https://bangla.plus/bangladesh-news-headlines/,bangla.plus,P2,C,regional_media_candidate,asia,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
banque_france_fr,https://www.banque-france.fr/fr/publications-et-recherche,banque-france.fr,P2,C,regional_media_candidate,europe,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
banquepopulaire_fr,https://www.banquepopulaire.fr/gestion-privee/,banquepopulaire.fr,P2,C,regional_media_candidate,europe,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
baobacninh_com_vn,http://baobacninhtv.vn/doi-song,baobacninhtv.vn,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
baocantho_com_vn,http://www.baocantho.com.vn/thoi-su/,baocantho.com.vn,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
baodautu_vn,https://baodautu.vn/thoi-su-dau-tu-d1/,baodautu.vn,P2,C,regional_media_candidate,asia_pacific,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
baoquocte_vn,https://baoquocte.vn/tin-24h,baoquocte.vn,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
bartabazar_com,http://bartabazar.com/news/category/%e0%a6%b9%e0%a7%8d%e0%a6%af%e0%a6%be%e0%a6%b2%e0%a7%8b-%e0%a6%b8%e0%a6%ae%e0%a7%8d%e0%a6%aa%e0%a6%be%e0%a6%a6%e0%a6%95/,bartabazar.com,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
basakgazetesi_com,https://www.basakgazetesi.com/foto-galeri/cona_kanyonu-14,basakgazetesi.com,P2,C,regional_media_candidate,europe,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
batmancagdas_com,https://www.batmancagdas.com/gundem,batmancagdas.com,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
bbc_co_uk,https://www.bbc.co.uk/burmese/topics/cnlv9j1z93wt,bbc.co.uk,P2,C,public_broadcaster,asia,selective_crawl,BBC Burmese service is useful for Myanmar coverage but not core main crawl,manual_override
bbc_com,https://www.bbc.com/news,bbc.com,P0,A,global_major_media,global,primary_crawl,high quality global coverage,manual_or_curated
bengkuluekspress_com,http://bengkuluekspress.com/kategori/headline,bengkuluekspress.com,P2,C,regional_media_candidate,europe,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
bernama_com,https://www.bernama.com/en/world/,bernama.com,P0,A,state_media,asia,primary_crawl,national wire with strong region coverage,manual_or_curated
bhaskar_com,https://www.bhaskar.com/national/,bhaskar.com,P2,C,national_major_media,south_asia,selective_crawl,major Hindi audience but noisy,manual_or_curated
birgun_net,https://www.birgun.net/kategori/guncel-7,birgun.net,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
bisnis_com,http://www.bisnis.com/,bisnis.com,P1,B,national_major_media,asia,secondary_crawl,business and policy coverage,manual_or_curated
bk_mufg_jp,https://www.bk.mufg.jp/kigyou/index.html,bk.mufg.jp,P2,C,regional_media_candidate,asia,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
bkn_go_id,https://www.bkn.go.id/publikasi/akuntabilitas-kinerja/rencana-kerja-bkn/,bkn.go.id,P2,C,official_government,asia,selective_crawl,official but administrative focus,manual_or_curated
bnionline_net,https://www.bnionline.net/mm/news,bnionline.net,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
boj_or_jp,https://www.boj.or.jp/mopo/outlook/index.htm,boj.or.jp,P2,C,regional_media_candidate,asia,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
bolgegazetesi_com,https://www.bolgegazetesi.com/haber/politika,bolgegazetesi.com,P2,C,regional_media_candidate,europe,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
bolnews_com,https://www.bolnews.com/category/latest-news/,bolnews.com,P2,C,national_major_media,south_asia,selective_crawl,useful but quality inconsistent,manual_or_curated
bolugundem_com,https://www.bolugundem.com/siyaset,bolugundem.com,P2,C,regional_media_candidate,europe,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
bolununsesi_com,http://www.bolununsesi.com/haberler,bolununsesi.com,P2,C,regional_media_candidate,europe,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
brookings_edu,https://www.brookings.edu/topics/international-affairs/,brookings.edu,P3,C,think_tank_context,global,context_only,analysis source not news backbone,manual_or_curated
brudirect_com,http://www.brudirect.com/result.php?title=&category=national-headline&subcategory=,brudirect.com,P2,C,regional_media_candidate,latin_america,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
bruegel_org,https://www.bruegel.org/topics,bruegel.org,P3,C,think_tank_context,latin_america,context_only,"analysis source; useful for context, not raw news backbone",heuristic
bssnews_net,https://www.bssnews.net/news,bssnews.net,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
buenosairesherald_com,http://www.buenosairesherald.com/business,buenosairesherald.com,P2,C,regional_media_candidate,europe,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
bulgaronline_com,https://www.bulgaronline.com/news,bulgaronline.com,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
bundesregierung_de,https://www.bundesregierung.de/breg-de/bundesregierung,bundesregierung.de,P1,B,official_government,europe,secondary_crawl,official government newsroom,manual_or_curated
burasicanakkale_com,https://www.burasicanakkale.com.tr/kategori/40/siyaset/1,burasicanakkale.com.tr,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
burmese_kachinnews_com,http://burmese.kachinnews.com/category/news/,burmese.kachinnews.com,P2,C,regional_media_candidate,europe,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
burmese_monnews_org,https://burmese.monnews.org/category/news/,burmese.monnews.org,P2,C,regional_media_candidate,europe,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
bursagundem_com,http://www.bursagundem.com/siyaset-haberleri/,bursagundem.com,P2,C,regional_media_candidate,europe,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
businesstimes_com_sg,http://www.businesstimes.com.sg/singapore,businesstimes.com.sg,P1,B,business_media,asia,secondary_crawl,strong policy and macro angle,manual_or_curated
buzzfeed_com,https://www.buzzfeed.com/in-the-news,buzzfeed.com,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
bworldonline_com,http://www.bworldonline.com/top-stories/,bworldonline.com,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
cambodiadaily_com,https://www.cambodiadaily.com/category/news/,cambodiadaily.com,P2,C,regional_media_candidate,asia,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
canakkaleolay_com,http://www.canakkaleolay.com/kategori/guncel,canakkaleolay.com,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
canaln_pe,https://canaln.pe/actualidad,canaln.pe,P2,C,regional_media_candidate,latin_america,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
cankirininsesi_com,https://www.cankirininsesi.com/category/uncategorized/,cankirininsesi.com,P2,C,regional_media_candidate,europe,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
carnegie_ru,https://carnegie.ru/commentary/topic/52,carnegie.ru,P3,C,think_tank_context,global,context_only,"analysis source; useful for context, not raw news backbone",heuristic
carnegiecouncil_org,https://www.carnegiecouncil.org/initiatives-issues/emerging-technology,carnegiecouncil.org,P3,C,think_tank_context,global,context_only,"analysis source; useful for context, not raw news backbone",heuristic
carnegieendowment_org,https://carnegieendowment.org/programs/africa,carnegieendowment.org,P3,C,think_tank_context,global,context_only,analysis source not news backbone,manual_or_curated
cartercenter_org,https://www.cartercenter.org/programs/peace/,cartercenter.org,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
cbc_ca,http://www.cbc.ca/news/world,cbc.ca,P0,A,public_broadcaster,north_america,primary_crawl,high quality public broadcaster,manual_or_curated
cbsnews_com,http://www.cbsnews.com/world/,cbsnews.com,P0,A,global_major_media,north_america,primary_crawl,strong general international coverage,manual_or_curated
cctv_com,http://cctv.cntv.cn/NatureetScience/index.shtml,cctv.cntv.cn,P2,C,state_media,global,selective_crawl,unclear source value; manual review recommended,heuristic
cdhowe_org,https://www.cdhowe.org/news,cdhowe.org,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
cei_org,https://cei.org/issues/capitalism/,cei.org,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
centerforsecuritypolicy_org,http://www.centerforsecuritypolicy.org/category/homeland-security-and-counterterrorism/foodsecurity/,centerforsecuritypolicy.org,P2,C,regional_media_candidate,europe,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
ceps_eu,https://www.ceps.eu/ceps-topics/,ceps.eu,P2,C,regional_media_candidate,europe,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
changiairport_com,http://www.changiairport.com/en/fly/flight-information.html,changiairport.com,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
channelionline_com,https://www.channelionline.com/latest/,channelionline.com,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
channelnewsasia_com,http://www.channelnewsasia.com/latest-news,channelnewsasia.com,P0,A,regional_major_media,asia,primary_crawl,excellent Southeast Asia and China coverage,manual_or_curated
china_com,http://military.china.com/refer/,military.china.com,P2,C,state_media,asia,selective_crawl,unclear source value; manual review recommended,heuristic
chinapress_com_my,http://www.chinapress.com.my/category/%e5%9b%bd%e9%99%85/,chinapress.com.my,P2,C,regional_media_candidate,asia,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
chinatimes_com,https://www.chinatimes.com/realtimenews/,chinatimes.com,P1,B,national_major_media,asia,secondary_crawl,important Taiwan source,manual_or_curated
cigionline_org,https://www.cigionline.org/opinions/,cigionline.org,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
cips_cepi_ca,https://www.cips-cepi.ca/category/news/,cips-cepi.ca,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
cis_mit_edu,https://cis.mit.edu/news-media,cis.mit.edu,P2,C,regional_media_candidate,europe,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
clingendael_org,https://www.clingendael.org/training-courses,clingendael.org,P2,C,regional_media_candidate,latin_america,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
cnnews_chosun_com,https://cnnews.chosun.com/client/news/lst.asp?cate=C01&mcate=M1003,cnnews.chosun.com,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
cnnturk_com,https://www.cnnturk.com/dunya-haberleri/,cnnturk.com,P2,C,regional_media_candidate,middle_east,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
coconuts_co,https://coconuts.co/bangkok/,coconuts.co,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
conferenceboard_ca,https://www.signal49.ca/news-room,signal49.ca,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
connexionfrance_com,https://www.connexionfrance.com/tag/news,connexionfrance.com,P2,C,regional_media_candidate,europe,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
cpd_org_au,https://cpd.org.au/news-media/,cpd.org.au,P2,C,regional_media_candidate,asia_pacific,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
cpps_org_my,http://cpps.org.my/national-competitiveness/,cpps.org.my,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
csis_org,https://www.csis.org/analysis,csis.org,P3,C,think_tank_context,global,context_only,analysis source not news backbone,manual_or_curated
csmonitor_com,http://www.csmonitor.com/The-Culture/Faith-Religion,csmonitor.com,P1,B,global_major_media,global,secondary_crawl,use domain but replace weak section URL,manual_or_curated
csps_org_bn,http://www.csps.org.bn/press/events-organised/forums/,csps.org.bn,Drop,D,noise,global,drop,"non-news, utility, forum, lifestyle, or commerce source",heuristic
cuba_cu,http://www.cuba.cu/sites/politica,cuba.cu,P2,C,regional_media_candidate,latin_america,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
culturaitalia_it,http://www.culturaitalia.it/blog/category/news/,culturaitalia.it,P2,C,regional_media_candidate,europe,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
cumrapostasi_com,https://cumrapostasi.com/kat/gundem/,cumrapostasi.com,P2,C,regional_media_candidate,latin_america,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
dailyexpress_com_my,http://www.dailyexpress.com.my/world/,dailyexpress.com.my,P2,C,national_major_media,asia,selective_crawl,regional supplement source,manual_or_curated
dailyibrat_com,https://www.dailyibrat.com/news/category/latest-news/,dailyibrat.com,P2,C,regional_media_candidate,latin_america,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
dailyinqilab_com,https://www.dailyinqilab.com/national,dailyinqilab.com,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
dailynayadiganta_com,https://www.dailynayadiganta.com/latest/,dailynayadiganta.com,P2,C,regional_media_candidate,global,selective_crawl,possible news publisher; needs manual review before large-scale crawl,heuristic
dailynews_co_th,http://www.dailynews.co.th/news/,dailynews.co.th,P2,C,national_major_media,asia,selective_crawl,high volume Thai source,manual_or_curated
