review_rank,domain,source_name,country,region,source_type,ownership_type,geo_alignment,political_leaning,credibility_tier,label_confidence,review_status,article_count_snapshot,evidence_url,evidence_note,missing_fields,review_priority,proposed_ownership_type,proposed_geo_alignment,proposed_political_leaning,proposed_credibility_tier,proposed_label_confidence,proposed_review_status,evidence_url_1,evidence_url_2,review_note,reviewer,reviewed_at
19,prothomalo.com,Prothom Alo,Bangladesh,south_asia,national_major_media,unknown,global_south,unknown,unknown,low,seeded,11468,https://www.prothomalo.com,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label,"ownership_type,political_leaning,credibility_tier,review_status",P1,,,,,,,,,,,
20,hurriyetdailynews.com,Hurriyet Daily News,Turkey,middle_east,national_major_media,unknown,middle_east,right,medium,high,reviewed,10934,https://ground.news/interest/hurriyet-daily-news,seeded_from_historical_wave1_targets; ground_news_rating_v1: Ground News lists Hurriyet Daily News as Right and Mixed factuality,ownership_type,P2,,,,,,,,,,,
21,dailymaverick.co.za,Daily Maverick,South Africa,africa,national_major_media,unknown,global_south,center,high,high,reviewed,9824,https://ground.news/interest/daily-maverick,seeded_from_historical_wave1_targets; ground_news_rating_v1: Ground News lists Daily Maverick as Center and High factuality,ownership_type,P2,,,,,,,,,,,
22,news24.com,News24,South Africa,africa,national_major_media,unknown,global_south,center,high,high,reviewed,9353,https://ground.news/interest/news24,seeded_from_historical_wave1_targets; ground_news_rating_v1: Ground News lists News24 as Center and High factuality,ownership_type,P2,,,,,,,,,,,
23,phnompenhpost.com,The Phnom Penh Post,Cambodia,asia,national_major_media,unknown,global_south,unknown,unknown,low,seeded,8442,http://www.phnompenhpost.com,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label,"ownership_type,political_leaning,credibility_tier,review_status",P1,,,,,,,,,,,
24,latercera.com,La Tercera,Chile,latin_america,national_major_media,unknown,global_south,center_right,high,high,reviewed,7470,https://ground.news/interest/la-tercera,seeded_from_historical_wave1_targets; ground_news_rating_v1: Ground News lists La Tercera as Lean Right and High factuality,ownership_type,P2,,,,,,,,,,,
25,faz.net,FAZ,Germany,europe,national_major_media,unknown,western,center_right,high,high,reviewed,7461,https://ground.news/interest/frankfurter-allgemeine,seeded_from_historical_wave1_targets; ground_news_rating_v1: Ground News lists Frankfurter Allgemeine Zeitung as Lean Right and High factuality,ownership_type,P2,,,,,,,,,,,
26,premiumtimesng.com,Premium Times,Nigeria,africa,national_major_media,unknown,global_south,center_left,high,high,reviewed,6635,https://ground.news/interest/premium-times-nigeria,seeded_from_historical_wave1_targets; ground_news_rating_v1: Ground News lists Premium Times Nigeria as Lean Left and High factuality,ownership_type,P2,,,,,,,,,,,
27,news.thaipbs.or.th,Thai PBS,Thailand,asia,public_broadcaster,public,global_south,unknown,high,medium,needs_review,6544,https://news.thaipbs.or.th,seeded_from_historical_wave1_targets; ownership inferred structurally from source_type=public_broadcaster; structural_review_v1: public broadcaster credibility seed; political leaning requires external rating; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label,"political_leaning,review_status",P1,,,,,,,,,,,
28,nzherald.co.nz,NZ Herald,New Zealand,asia_pacific,national_major_media,unknown,western,center,high,medium,reviewed,6229,https://ground.news/interest/nz-herald,ground_news_rating_v1: Ground News lists NZ Herald as Center and High factuality; medium confidence due same-name-source ambiguity,ownership_type,P2,,,,,,,,,,,
29,kyivindependent.com,The Kyiv Independent,Ukraine,europe,national_major_media,unknown,western,center_left,high,high,reviewed,5549,https://ground.news/interest/the-kyiv-independent,seeded_from_historical_wave1_targets; ground_news_rating_v1: Ground News lists The Kyiv Independent as Lean Left and High factuality,ownership_type,P2,,,,,,,,,,,
30,liputan6.com,Liputan6,Indonesia,asia,national_major_media,unknown,global_south,center_right,high,high,reviewed,5512,https://ground.news/interest/liputan6com,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label; ground_news_rating_v1: Ground News lists liputan6.com as Lean Right and High factuality,ownership_type,P2,,,,,,,,,,,
31,dn.pt,Diario de Noticias,Portugal,europe,national_major_media,unknown,western,unknown,unknown,low,seeded,5336,https://www.dn.pt,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label,"ownership_type,political_leaning,credibility_tier,review_status",P1,,,,,,,,,,,
32,gulfnews.com,Gulf News,United Arab Emirates,middle_east,national_major_media,unknown,middle_east,center_right,medium,high,reviewed,3375,https://ground.news/interest/gulf-news,seeded_from_historical_wave1_targets; ground_news_rating_v1: Ground News lists Gulf News as Lean Right and Mixed factuality,ownership_type,P2,,,,,,,,,,,
33,smh.com.au,The Sydney Morning Herald,Australia,asia_pacific,national_major_media,unknown,western,center_left,high,high,reviewed,3310,https://ground.news/interest/sydney-morning-herald,seeded_from_historical_wave1_targets; ground_news_rating_v1: Ground News lists The Sydney Morning Herald as Lean Left and High factuality,ownership_type,P2,,,,,,,,,,,
34,koreaherald.com,The Korea Herald,South Korea,asia,national_major_media,unknown,western,center_right,high,high,reviewed,3256,https://ground.news/interest/the-korea-herald,seeded_from_historical_wave1_targets; ground_news_rating_v1: Ground News lists The Korea Herald as Lean Right and High factuality,ownership_type,P2,,,,,,,,,,,
35,elcomercio.pe,El Comercio,Peru,latin_america,national_major_media,unknown,global_south,unknown,unknown,low,seeded,1996,https://elcomercio.pe,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label,"ownership_type,political_leaning,credibility_tier,review_status",P2,,,,,,,,,,,
36,yomiuri.co.jp,The Yomiuri Shimbun,Japan,asia,national_major_media,unknown,western,center_right,high,high,reviewed,1965,https://ground.news/interest/_3899b7,seeded_from_historical_wave1_targets; ground_news_rating_v1: Ground News lists Yomiuri Shimbun online as Lean Right and High factuality,ownership_type,P2,,,,,,,,,,,
37,africanews.com,Africanews,International,africa,regional_major_media,unknown,global_south,center_left,high,high,reviewed,1938,https://ground.news/interest/africa-news,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label; ground_news_rating_v1: Ground News lists Africa News as Lean Left and High factuality,ownership_type,P2,,,,,,,,,,,
38,indianexpress.com,The Indian Express,India,south_asia,national_major_media,unknown,global_south,center_left,medium,medium,reviewed,1545,https://ground.news/interest/indian-express,"seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label; ground_news_rating_v1: Ground News lists Indian Express as Lean Left and High factuality; MBFC lists mixed factuality, so mapped conservatively to medium",ownership_type,P2,,,,,,,,,,,
39,thestar.com,Toronto Star,Canada,north_america,national_major_media,unknown,western,center_left,high,high,reviewed,1509,https://ground.news/interest/the-toronto-star,seeded_from_historical_wave1_targets; ground_news_rating_v1: Ground News lists Toronto Star as Lean Left and High factuality,ownership_type,P2,,,,,,,,,,,
40,detik.com,Detik,Indonesia,asia,national_major_media,unknown,global_south,unknown,unknown,low,seeded,1449,https://news.detik.com,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label,"ownership_type,political_leaning,credibility_tier,review_status",P2,,,,,,,,,,,
41,thehindu.com,The Hindu,India,south_asia,national_major_media,unknown,global_south,center_left,high,high,reviewed,1210,https://ground.news/interest/the-hindu,seeded_from_historical_wave1_targets; ground_news_rating_v1: Ground News lists The Hindu as Lean Left and High factuality,ownership_type,P2,,,,,,,,,,,
42,bangkokpost.com,Bangkok Post,Thailand,asia,national_major_media,unknown,global_south,center_right,medium,high,reviewed,1182,https://ground.news/interest/bangkok-post,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label; ground_news_rating_v1: Ground News lists Bangkok Post as Lean Right and Mixed factuality,ownership_type,P2,,,,,,,,,,,
43,elespectador.com,El Espectador,Colombia,latin_america,national_major_media,unknown,global_south,unknown,unknown,low,seeded,1017,https://www.elespectador.com,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label,"ownership_type,political_leaning,credibility_tier,review_status",P2,,,,,,,,,,,
44,folha.uol.com.br,Folha de S.Paulo,Brazil,latin_america,national_major_media,unknown,global_south,unknown,unknown,low,seeded,840,https://www1.folha.uol.com.br,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label,"ownership_type,political_leaning,credibility_tier,review_status",P2,,,,,,,,,,,
45,theglobeandmail.com,The Globe and Mail,Canada,north_america,national_major_media,unknown,western,center,high,high,reviewed,763,https://ground.news/interest/the-globe-and-mail,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label; ground_news_rating_v1: Ground News lists The Globe & Mail as Center and Very High factuality,ownership_type,P2,,,,,,,,,,,
46,arabnews.com,Arab News,Saudi Arabia,middle_east,national_major_media,unknown,middle_east,center_right,medium,high,reviewed,741,https://ground.news/interest/arab-news_02f792,seeded_from_historical_wave1_targets; ground_news_rating_v1: Ground News lists Arab News as Lean Right and Mixed factuality,ownership_type,P2,,,,,,,,,,,
47,abc.es,ABC,Spain,europe,national_major_media,unknown,western,right,high,high,reviewed,735,https://ground.news/interest/abc_52916d,seeded_from_historical_wave1_targets; ground_news_rating_v1: Ground News lists ABC Spain as Right and High factuality,ownership_type,P2,,,,,,,,,,,
48,kompas.com,Kompas,Indonesia,asia,national_major_media,unknown,global_south,center,high,high,reviewed,617,https://ground.news/interest/kompas,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label; ground_news_rating_v1: Ground News lists Kompas as Center and High factuality,ownership_type,P2,,,,,,,,,,,
49,theguardian.com,The Guardian,United Kingdom,europe,global_major_media,unknown,western,center_left,high,high,reviewed,428,https://mediabiasfactcheck.com/the-guardian/,seeded_from_historical_wave1_targets; mbfc_rating_v1: Media Bias/Fact Check lists The Guardian as Left-Center and High factuality,ownership_type,P2,,,,,,,,,,,
50,arynews.tv,ARY News,Pakistan,south_asia,national_major_media,unknown,global_south,unknown,unknown,low,seeded,419,https://arynews.tv,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label,"ownership_type,political_leaning,credibility_tier,review_status",P2,,,,,,,,,,,
51,thedailystar.net,The Daily Star Bangladesh,Bangladesh,south_asia,national_major_media,unknown,global_south,unknown,unknown,low,seeded,377,https://www.thedailystar.net,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label,"ownership_type,political_leaning,credibility_tier,review_status",P2,,,,,,,,,,,
52,nikkei.com,Nikkei,Japan,asia,national_major_media,unknown,western,center_right,high,high,reviewed,308,https://mediabiasfactcheck.com/nikkei-asian-review/,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label; mbfc_rating_v1: Media Bias/Fact Check lists Nikkei Asian Review as Right-Center and High factuality,ownership_type,P2,,,,,,,,,,,
53,thejakartapost.com,The Jakarta Post,Indonesia,asia,national_major_media,unknown,global_south,center_left,medium,medium,reviewed,301,https://ground.news/interest/the-jakarta-post,"seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label; ground_news_rating_v1: Ground News lists The Jakarta Post as Lean Left and High factuality; MBFC lists mostly factual, so mapped conservatively to medium",ownership_type,P2,,,,,,,,,,,
54,eluniversal.com.mx,El Universal,Mexico,latin_america,national_major_media,unknown,global_south,unknown,unknown,low,seeded,254,https://www.eluniversal.com.mx,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label,"ownership_type,political_leaning,credibility_tier,review_status",P2,,,,,,,,,,,
55,theage.com.au,The Age,Australia,asia_pacific,national_major_media,unknown,western,center_left,high,high,reviewed,200,https://ground.news/interest/the-age,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label; ground_news_rating_v1: Ground News lists The Age as Lean Left and High factuality,ownership_type,P2,,,,,,,,,,,
56,publico.pt,Publico,Portugal,europe,national_major_media,unknown,western,unknown,unknown,low,seeded,199,https://www.publico.pt,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label,"ownership_type,political_leaning,credibility_tier,review_status",P2,,,,,,,,,,,
57,asahi.com,The Asahi Shimbun,Japan,asia,national_major_media,unknown,western,center_left,high,high,reviewed,167,https://ground.news/interest/asahi,seeded_from_historical_wave1_targets; ground_news_rating_v1: Ground News lists Asahi as Lean Left and High factuality,ownership_type,P2,,,,,,,,,,,
58,geo.tv,Geo News,Pakistan,south_asia,national_major_media,unknown,global_south,center_right,high,high,reviewed,137,https://ground.news/interest/geo-news,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label; ground_news_rating_v1: Ground News lists Geo News as Lean Right and High factuality,ownership_type,P2,,,,,,,,,,,
59,dawnnews.tv,Dawn News,Pakistan,south_asia,national_major_media,unknown,global_south,center_left,medium,medium,reviewed,136,https://ground.news/interest/dawn_a02aa2,"seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label; ground_news_rating_v1: Ground News lists Dawn as Lean Left and High factuality; MBFC lists Dawn mostly factual/medium credibility, so mapped to medium",ownership_type,P2,,,,,,,,,,,
60,thestar.com.my,The Star Malaysia,Malaysia,asia,national_major_media,unknown,global_south,right,medium,high,reviewed,125,https://ground.news/interest/the-star-kuala-lumpur,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label; ground_news_rating_v1: Ground News lists The Star Kuala Lumpur as Right and Mixed factuality,ownership_type,P2,,,,,,,,,,,
61,channelnewsasia.com,CNA,Singapore,asia,regional_major_media,unknown,global_south,center,high,high,reviewed,100,https://ground.news/interest/channel-news-asia,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label; ground_news_rating_v1: Ground News lists Channel News Asia as Center and Very High factuality,ownership_type,P2,,,,,,,,,,,
62,bisnis.com,Bisnis,Indonesia,asia,national_major_media,unknown,global_south,unknown,unknown,low,seeded,99,http://www.bisnis.com,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label,"ownership_type,political_leaning,credibility_tier,review_status",P2,,,,,,,,,,,
63,haaretz.com,Haaretz,Israel,middle_east,national_major_media,unknown,middle_east,left,high,high,reviewed,55,https://ground.news/interest/haaretz,seeded_from_historical_wave1_targets; ground_news_rating_v1: Ground News lists Haaretz as Left and High factuality,ownership_type,P2,,,,,,,,,,,
64,philstar.com,The Philippine Star,Philippines,asia,national_major_media,unknown,global_south,center_left,high,high,reviewed,54,https://ground.news/interest/philstar-global,seeded_from_historical_wave1_targets; geo_alignment_rule_v1: inferred from curated country/region for source-composition grouping; not a political-bias label; ground_news_rating_v1: Ground News lists Philstar Global as Lean Left and Very High factuality,ownership_type,P2,,,,,,,,,,,
