site_id,domain,layer,priority_tier,region,source_type,preferred_entry,signal_role,origin,notes
vietnam_mofa,mofa.gov.vn,official_direct,P1,asia,foreign_ministry,https://mofa.gov.vn/en/web/ministry-of-foreign-affairs,official_position,strategic_addition_v2,official Vietnam foreign ministry portal with spokesperson and press release sections
australia_dfat,dfat.gov.au,official_direct,P1,asia_pacific,foreign_ministry,https://www.dfat.gov.au/news-speeches-and-media,official_position,strategic_addition,official Australian foreign ministry signal
bundesregierung_de,bundesregierung.de,official_direct,P1,europe,executive_government,https://www.bundesregierung.de/breg-de/bundesregierung,official_position,official_expansion,official German government newsroom
france_diplomatie,diplomatie.gouv.fr,official_direct,P1,europe,foreign_ministry,https://www.diplomatie.gouv.fr/en/press/news,official_position,official_expansion,official France foreign ministry news
osce_press,osce.org,official_direct,P1,europe,international_organization,https://www.osce.org/press-releases,official_position,strategic_addition,official European security and election monitoring statements
russia_mfa,mid.ru,official_direct,P1,europe,foreign_ministry,https://mid.ru/en/press_service/,official_position,strategic_addition_v2,official Russian foreign ministry statements and briefings
ukraine_mfa,mfa.gov.ua,official_direct,P1,europe,foreign_ministry,https://mfa.gov.ua/en/news,official_position,strategic_addition_v2,official Ukraine foreign ministry statements and news
who_int,who.int,official_direct,P1,global,international_organization,https://www.who.int/news-room,official_position,official_expansion,official institutional and emergency updates with lower direct political density
argentina_cancilleria,cancilleria.gob.ar,official_direct,P1,latin_america,foreign_ministry,https://www.cancilleria.gob.ar/en/news,official_position,strategic_addition,official Argentina foreign ministry news
brazil_mre,gov.br/mre,official_direct,P1,latin_america,foreign_ministry,https://www.gov.br/mre/en/contact-us/press-area/press-releases,official_position,official_expansion,official Brazil foreign ministry press area
chile_minrel,minrel.gob.cl,official_direct,P1,latin_america,foreign_ministry,https://www.minrel.gob.cl/minrel/sala-de-prensa/p/1,official_position,strategic_addition_v2,official Chile foreign ministry press room
colombia_cancilleria,cancilleria.gov.co,official_direct,P1,latin_america,foreign_ministry,https://www.cancilleria.gov.co/sala-de-prensa/noticias,official_position,strategic_addition_v2,official Colombia foreign ministry newsroom
mexico_sre,gob.mx,official_direct,P1,latin_america,foreign_ministry,https://www.gob.mx/sre/en/archivo/prensa,official_position,strategic_addition,official Mexico foreign ministry press archive
oas_news,oas.org,official_direct,P1,latin_america,international_organization,https://www.oas.org/en/media_center/default.asp,official_position,strategic_addition,official Americas multilateral organization statements
egypt_mfa,mfa.gov.eg,official_direct,P1,middle_east,foreign_ministry,https://www.mfa.gov.eg/,official_position,strategic_addition,official Egypt foreign ministry signal source
israel_mfa,gov.il,official_direct,P1,middle_east,foreign_ministry,https://www.gov.il/en/departments/ministry_of_foreign_affairs,official_position,strategic_addition_v2,official Israeli foreign ministry news and statements
qatar_mofa,mofa.gov.qa,official_direct,P1,middle_east,foreign_ministry,https://mofa.gov.qa/en/all-mofa-news,official_position,strategic_addition,official Qatar foreign ministry statements and ministry news
saudi_mofa,mofa.gov.sa,official_direct,P1,middle_east,foreign_ministry,https://www.mofa.gov.sa/en/ministry/news/Pages/default.aspx,official_position,strategic_addition,official Saudi foreign ministry news
turkiye_mfa,mfa.gov.tr,official_direct,P1,middle_east,foreign_ministry,https://www.mfa.gov.tr/press-information.en.mfa,official_position,strategic_addition,official Türkiye foreign ministry statements
uae_mofa,mofaic.gov.ae,official_direct,P1,middle_east,foreign_ministry,https://www.mofaic.gov.ae/en/,official_position,strategic_addition,official UAE foreign ministry statements and releases
canada_gac,international.gc.ca,official_direct,P1,north_america,foreign_ministry,https://www.international.gc.ca/global-affairs-affaires-mondiales/news-nouvelles/index.aspx?lang=eng,official_position,strategic_addition,official Canadian foreign affairs signal
bangladesh_mofa,mofa.gov.bd,official_direct,P1,south_asia,foreign_ministry,https://mofa.gov.bd/pages/press-releases,official_position,strategic_addition_v2,official Bangladesh foreign ministry press releases
pakistan_mofa,mofa.gov.pk,official_direct,P1,south_asia,foreign_ministry,https://mofa.gov.pk/press-releases,official_position,strategic_addition_v2,official Pakistan foreign ministry press releases
sri_lanka_mfa,mfa.gov.lk,official_direct,P1,south_asia,foreign_ministry,https://www.mfa.gov.lk/en/news/ministry-news,official_position,strategic_addition_v2,official Sri Lanka foreign ministry news
